geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
simr-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),22.48029718,9.261090004,0.41196475,WBGene00015504,
snx-6,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),91.07807964,108.739766,1.19391808,WBGene00013354,Embryonic lethal
T04A8.7,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",30.72642415,16.80287856,0.546854345,WBGene00011409,Embryonic lethal
T04H1.2,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),80.04507414,45.63352946,0.57009791,WBGene00011449,
T05B9.1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),197.050338,235.8458973,1.196881465,WBGene00011464,
T13F2.6,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),29.51539624,5.355559542,0.181449691,WBGene00011746,Embryonic lethal
tcc-1,+,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,not significantly sterile in N2 or grif-1(ax4524),108.1344296,16.52451082,0.152814519,WBGene00013340,
tdc-1,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak",not significantly sterile in N2 or grif-1(ax4524),25.96387284,1.99260651,0.07674535,WBGene00006562,
trcs-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),217.5990529,4.382372164,0.020139666,WBGene00009186,Embryonic lethal
ubxn-4,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),138.2368836,240.4088289,1.739107701,WBGene00022703,
unc-11,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),26.01039469,44.43634409,1.708407143,WBGene00006751,Embryonic lethal
vps-35,+,+,+,+,+,Group I,"RNA localizes to puncta in somatic cells, Enrichment in ~100-cell is weak","no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",53.52276616,41.0071039,0.766161894,WBGene00006933,
W08E12.7,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),310.9650251,456.1390607,1.466850044,WBGene00021088,
wago-1,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),426.1652929,357.9443117,0.839918965,WBGene00011061,
xrep-4,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),29.38196357,15.67253608,0.533406695,WBGene00018509,
Y18D10A.11,+,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),48.66972648,16.92149722,0.347680138,WBGene00012481,
Y41E3.7,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),91.02084612,66.66641293,0.73243016,WBGene00012765,
zif-1,+,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),104.5464911,182.9529931,1.749967801,WBGene00006977,Embryonic lethal
acs-19,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),78.63551927,24.12485314,0.306793334,WBGene00007969,
cash-1,-,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,sterility in grif-1(ax4524) ,261.1148313,141.5478514,0.542090431,WBGene00010631,
cgh-1,-,+,+,+,+,Group I,,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",283.2796513,231.6028023,0.817576558,WBGene00000479,Embryonic lethal
cpg-2,-,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),86.2100798,3.92083354,0.04547999,WBGene00015102,Embryonic lethal
dab-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),140.6135449,84.65488825,0.602039358,WBGene00000894,Embryonic lethal
deps-1,-,+,+,+,+,Group I,,sterility in grif-1(ax4524) ,113.7988251,81.05427033,0.71225929,WBGene00022034,Embryonic lethal
eat-6,-,+,+,+,+,Group I,,"no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",142.8216944,14.16335589,0.099168099,WBGene00001137,Embryonic lethal
egg-3,-,+,+,+,+,Group I,,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",48.01429325,6.488695234,0.135140909,WBGene00009701,Embryonic lethal
fbxa-215,-,+,-,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),113.5088239,80.37024859,0.708052871,WBGene00012879,
hil-4,-,+,-,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),172.422944,268.8467088,1.559228155,WBGene00001855,
hrde-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),139.3144694,35.59761276,0.255519853,WBGene00007624,
ima-2,-,+,+,+,+,Group I,,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",169.7665289,33.83395523,0.199296972,WBGene00002073,Embryonic lethal
lin-24,-,+,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),34.21990254,21.04739662,0.615063021,WBGene00003010,
M01H9.3,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),29.75000447,59.54118739,2.001384149,WBGene00019719,
maph-1.2,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,,9.173351647,4.593279825,0.500719912,WBGene00009113,Embryonic lethal
ogdh-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,"P0 sterile, no F1 worms, could not count sterility in either N2 or grif-1(ax4524)",108.4918256,55.08690966,0.507751707,WBGene00020679,Embryonic lethal
patr-1,-,+,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),917.2353438,807.2461024,0.880086128,WBGene00009661,Embryonic lethal
pos-1,-,+,+,+,+,Group I,RNA localizes to puncta in somatic cells,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",524.6648904,863.8370347,1.646454814,WBGene00004078,Embryonic lethal
